icao,iata,name,lat,lon,municipality,country
AAXX,,Aeródromo de Punto Rothera,-67.56694,-68.12699,Rothera Point,AQ
AGAF,AFT,Afutara Aerodrome,-9.19139,160.94861,Bila,SB
AGAR,RNA,Ulawa Airport,-9.86054,161.97955,Arona,SB
AGAT,ATD,Uru Harbour Airport,-8.87333,161.011,Atoifi,SB
AGBA,VEV,Barakoma Airport,-7.91278,156.70599,Barakoma,SB
AGBT,BPF,Batuna Aerodrome,-8.56203,158.11931,Batuna Mission Station,SB
AGEV,GEF,Geva Airport,-7.57583,156.597,Liangia,SB
AGGA,AKS,Gwaunaru'u Airport,-8.70257,160.68201,Auki,SB
AGGB,BNY,Bellona/Anua Airport,-11.30222,159.79833,Anua,SB
AGGC,CHY,Choiseul Bay Airport,-6.71194,156.39611,Choiseul Bay,SB
AGGE,BAS,Ballalae Airport,-6.99075,155.88666,Ballalae,SB
AGGF,FRE,Fera/Maringe Airport,-8.1075,159.577,Fera Island,SB
AGGH,HIR,Honiara International Airport,-9.428,160.05499,Honiara,SB
AGGI,MBU,Babanakira Airport,-9.7475,159.839,Mbambanakira,SB
AGGJ,AVU,Avu Avu Airport,-9.86833,160.41056,Avu Avu,SB
AGGK,IRA,Ngorangora Airport,-10.4497,161.89799,Kirakira,SB
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.795,Santa Cruz/Graciosa Bay/Luova,SB
AGGM,MUA,Munda Airport,-8.32797,157.263,Munda,SB
AGGN,GZO,Nusatupe Airport,-8.09778,156.864,Gizo,SB
AGGO,MNY,Mono Airport,-7.41694,155.565,Stirling Island,SB
AGGP,PRS,Parasi Airport,-9.64167,161.425,Parasi,SB
AGGR,RNL,Rennell/Tingoa Airport,-11.55,160.06278,Rennell Island,SB
AGGS,EGM,Sege Airport,-8.57889,157.87601,Sege,SB
AGGT,NNB,Santa Ana Airport,-10.84799,162.45411,Santa Ana Island,SB
AGGU,RUS,Marau Airport,-9.86167,160.825,Marau,SB
AGGV,VAO,Suavanao Airport,-7.58556,158.731,Suavanao,SB
AGGY,XYA,Yandina Airport,-9.09282,159.21841,Yandina,SB
AGKG,KGE,Kaghau Airport,-7.3305,157.585,Kagau Island,SB
AGKU,KUE,Kukudu Airport,-8.0262,156.94783,Kolombangara Island,SB
AGKW,KWS,Kwailabesi Airport,-8.36051,160.77513,Kwailabesi,SB
AGLM,LLM,Lomlom Airport,-10.29683,166.32732,Lomlom,SB
AGNA,NAZ,Nana Airport,-10.6758,162.2049,Star Harbor,SB
AGOB,MHM,Manaoba Airport,-8.32501,160.80051,Manaoba,SB
AGOK,GTA,Gatokae Aerodrome,-8.73836,158.20284,Gatokae,SB
